server_id,user_id
tts-298814706,NAS:CA
tts-294951046,NAS:LIN
tts-29400599,NAS:WFM
tts-291149473,NAS:DASH
tts-289578745,NAS:ARM
tts-2880955,NAS:FWLT
tts-284392746,NAS:ROP
tts-2711488,NAS:DXCM
tts-268663742,NAS:GEHC
tts-245373754,NAS:WBD
tts-24429604,NAS:NXPI
tts-23947362,NAS:TSLA
tts-239110702,NAS:CEG
tts-237275457,NYS:GRMN
tts-234941877,NAS:BKR
tts-232151446,NAS:RIVN
tts-231697626,NAS:PANW
tts-231055357,NAS:GFS
tts-230505167,NAS:INKT
tts-228473225,NAS:CCEP
tts-224517911,NAS:LCID
tts-222568848,NAS:META
tts-219587327,NAS:HON
tts-217036446,NAS:APP
tts-2098957,NAS:MPWR
tts-209398685,NAS:COMS~1
tts-207966789,NAS:ABNB
tts-205658684,NYS:LEAP
tts-20508704,NAS:FTNT
tts-203738082,NAS:KDP
tts-203738081,NAS:AEP
tts-20366359,NYS:JNPR
tts-203249662,NYS:AZN
tts-202005198,NAS:PLTR
tts-20189978,NAS:VRSK
tts-1947579,NAS:GOOG
tts-1839830,NAS:WCRX
tts-181976270,NAS:SMCI
tts-181197429,NAS:PRDO
tts-17917826,NAS:VOD
tts-17916214,NAS:MAT
tts-17914799,NAS:MU
tts-17914522,NAS:BMC
tts-17914161,NAS:HAS
tts-1784188,NAS:LBTYA
tts-1781672,NAS:ALNY
tts-177780551,NAS:NLOK
tts-177780548,NAS:TCOM
tts-175405676,NAS:EXC
tts-175090367,NYS:ADCT
tts-174238383,NAS:PTON
tts-174002103,NAS:DDOG
tts-16784810,NAS:MYL
tts-167018563,NAS:CRWD
tts-163839424,NAS:ZM
tts-16189359,NYS:MWW
tts-161284560,NAS:TFCFA
tts-161284558,NAS:TFCF
tts-15888595,NAS:ADP
tts-157040141,NYS:DELL
tts-15427298,NAS:DISCK
tts-15401130,NAS:STX
tts-149357573,NAS:UAL
tts-146910073,NAS:PDD
tts-14359676,NAS:MRNA
tts-140322345,NAS:DOCU
tts-14011355,NAS:CA~1
tts-137190768,NAS:ZS
tts-137012693,NAS:QRTEA
tts-136266150,NAS:BKNG
tts-136266149,NAS:STCN
tts-133282628,NYS:QGEN
tts-132814882,NAS:XEL
tts-132468358,NAS:PEP
tts-132399257,NYS:NCLH
tts-130097863,NAS:ALTR~1
tts-129307390,NAS:MDB
tts-129193787,NYS:BB
tts-127962865,NAS:WDAY
